boom_user_id,first_name,last_name,email,phone,city,country,birthday,created_at,has_membership,membership_since,points
bm_usr_000001,Daniel,Ospina,daniel.ospina@gmail.com,3015007294,Cali,CO,1996-08-01,2025-09-14 12:00:00,false,,29
bm_usr_000002,Tatiana,Rodríguez,tatiana.rodriguez7@gmail.com,3040374392,Medellín,CO,1973-07-17,2025-10-25 12:00:00,true,2025-12-10 12:00:00,246
bm_usr_000003,Carolina,Hernández,carolina.hernandez@hotmail.com,3290879680,Bogotá,CO,2005-06-27,2026-01-13 12:00:00,false,,17
bm_usr_000004,Valentina,Gómez,valentina.gomez@gmail.com,3181205925,Bogotá,CO,2006-07-26,2025-09-24 12:00:00,false,,30
bm_usr_000005,Manuela,Castro,manuela.castro@gmail.com,3121008774,Medellín,CO,1996-04-23,2025-10-11 12:00:00,false,,37
bm_usr_000006,Carlos,Suárez,carlos.suarez@gmail.com,3126289033,Bucaramanga,CO,2003-04-23,2025-10-11 12:00:00,false,,54
bm_usr_000007,Valentina,Ospina,valentina.ospina@gmail.com,3272914921,Bogotá,CO,1981-05-01,2025-06-09 12:00:00,true,2026-02-11 12:00:00,220
bm_usr_000008,Mariana,Peña,mariana.pena56@gmail.com,3234952625,Manizales,CO,1993-07-17,2025-12-24 12:00:00,false,,67
bm_usr_000009,Andrea,Muñoz,andrea.munoz17@hotmail.com,3137120498,Bogotá,CO,2003-10-13,2025-12-22 12:00:00,false,,38
bm_usr_000010,Luisa,Cárdenas,luisa.cardenas@yahoo.com,3287436206,Bucaramanga,CO,1973-01-05,2025-10-13 12:00:00,true,2026-01-31 12:00:00,243
bm_usr_000011,Mateo,Arango,mateo.arango@outlook.com,3196259409,Manizales,CO,1983-11-05,2025-06-28 12:00:00,false,,75
bm_usr_000012,María,Martínez,maria.martinez@hotmail.com,3157163710,Cali,CO,1999-10-06,2025-08-02 12:00:00,true,2025-11-06 12:00:00,220
bm_usr_000013,Camilo,Jiménez,camilo.jimenez@gmail.com,3141348253,Medellín,CO,1972-02-27,2026-02-18 12:00:00,false,,32
bm_usr_000014,Luisa,Ortiz,luisa.ortiz@gmail.com,3267963834,Medellín,CO,1991-10-15,2026-03-12 12:00:00,false,,47
bm_usr_000015,Laura,Martínez,laura.martinez@gmail.com,3129442974,Bogotá,CO,2005-04-15,2025-07-10 12:00:00,true,2025-12-06 12:00:00,211
bm_usr_000016,Fabián,Bermúdez,fabian.bermudez49@outlook.com,3236315539,Medellín,CO,1995-11-11,2025-08-12 12:00:00,false,,61
bm_usr_000017,Felipe,Betancur,felipe.betancur@gmail.com,3126307656,Bogotá,CO,1998-09-21,2025-06-23 12:00:00,false,,68
bm_usr_000018,Tatiana,Valencia,tatiana.valencia50@gmail.com,3010975612,Medellín,CO,1976-05-24,2025-08-11 12:00:00,false,,43
bm_usr_000019,Mateo,Martínez,mateo.martinez@gmail.com,3124801812,Bogotá,CO,1981-04-21,2025-09-16 12:00:00,false,,30
bm_usr_000020,Miguel,Peña,miguel.pena@outlook.com,3183416159,Bogotá,CO,1994-01-21,2025-12-28 12:00:00,true,2026-03-08 12:00:00,214
bm_usr_000021,Nicolás,Hernández,nicolas.hernandez9@gmail.com,3056746187,Barranquilla,CO,1979-10-07,2025-07-30 12:00:00,false,,56
bm_usr_000022,Diana,Mejía,diana.mejia@gmail.com,3077610015,Medellín,CO,1980-11-13,2025-11-23 12:00:00,false,,12
bm_usr_000023,Carolina,Cárdenas,carolina.cardenas14@outlook.com,3098292347,Bogotá,CO,1984-03-15,2025-09-27 12:00:00,false,,31
bm_usr_000024,Daniel,Suárez,daniel.suarez86@gmail.com,3276579195,Bogotá,CO,2000-01-17,2026-01-06 12:00:00,false,,17
bm_usr_000025,Miguel,Cárdenas,miguel.cardenas@gmail.com,3226181039,Medellín,CO,2003-06-02,2026-02-28 12:00:00,false,,24
bm_usr_000026,Miguel,Jiménez,miguel.jimenez71@hotmail.com,3146818912,Medellín,CO,1991-08-24,2025-06-16 12:00:00,false,,44
bm_usr_000027,Cristian,Céspedes,cristian.cespedes@outlook.com,3273276294,Pereira,CO,2001-06-26,2026-01-03 12:00:00,false,,40
bm_usr_000028,David,López,david.lopez14@hotmail.com,3206841343,Bogotá,CO,2002-04-17,2025-12-06 12:00:00,false,,47
bm_usr_000029,Miguel,Vargas,miguel.vargas46@hotmail.com,3158348084,Bucaramanga,CO,1985-08-05,2025-09-24 12:00:00,false,,30
bm_usr_000030,Santiago,Bermúdez,santiago.bermudez@gmail.com,3050574707,Cali,CO,1998-08-01,2025-06-27 12:00:00,true,2025-07-20 12:00:00,272
bm_usr_000031,Tatiana,Castro,tatiana.castro@hotmail.com,3151946067,Bogotá,CO,1976-09-21,2025-12-01 12:00:00,false,,37
bm_usr_000032,Catalina,Restrepo,catalina.restrepo66@gmail.com,3013198748,Medellín,CO,2006-07-28,2025-05-19 12:00:00,false,,44
bm_usr_000033,Diana,Mejía,diana.mejia301@gmail.com,3135105476,Manizales,CO,1984-06-05,2025-09-14 12:00:00,false,,50
bm_usr_000034,Diego,Salazar,diego.salazar@outlook.com,3110054129,Medellín,CO,1996-05-10,2025-08-20 12:00:00,false,,44
bm_usr_000035,Valentina,Salazar,valentina.salazar@gmail.com,3148159201,Bogotá,CO,1974-03-10,2025-10-18 12:00:00,true,2026-01-03 12:00:00,232
bm_usr_000036,Diego,Restrepo,diego.restrepo@gmail.com,3110347809,Medellín,CO,2002-02-15,2025-06-26 12:00:00,false,,52
bm_usr_000037,Julián,Céspedes,julian.cespedes@hotmail.com,3143244849,Medellín,CO,1985-05-19,2025-08-29 12:00:00,false,,61
bm_usr_000038,Diego,Moreno,diego.moreno@gmail.com,3001212087,Medellín,CO,1983-10-15,2025-09-23 12:00:00,false,,17
bm_usr_000039,Juliana,Céspedes,juliana.cespedes75@gmail.com,3075751049,Cali,CO,1974-08-25,2025-12-21 12:00:00,true,2026-06-19 12:00:00,226
bm_usr_000040,Tatiana,Hernández,tatiana.hernandez@gmail.com,3272297441,Manizales,CO,1976-03-20,2026-04-15 12:00:00,false,,34
bm_usr_000041,Cristian,Ospina,cristian.ospina@gmail.com,3009539614,Cartagena,CO,1995-08-03,2025-10-18 12:00:00,true,2026-06-08 12:00:00,236
bm_usr_000042,Mateo,Cifuentes,mateo.cifuentes53@outlook.com,3080395802,Bogotá,CO,2004-05-27,2026-03-01 12:00:00,false,,38
bm_usr_000043,Ricardo,López,ricardo.lopez64@gmail.com,3148081615,Bogotá,CO,1979-06-03,2025-09-08 12:00:00,false,,64
bm_usr_000044,Santiago,Hernández,santiago.hernandez@gmail.com,3168780335,Medellín,CO,2001-06-22,2025-12-14 12:00:00,false,,56
bm_usr_000045,Natalia,Salazar,natalia.salazar@gmail.com,3047983563,Bogotá,CO,1984-09-10,2025-06-30 12:00:00,false,,11
bm_usr_000046,Carlos,Restrepo,carlos.restrepo27@gmail.com,3207333335,Barranquilla,CO,1991-06-10,2026-02-08 12:00:00,true,2026-06-05 12:00:00,176
bm_usr_000047,Julián,Rojas,julian.rojas@outlook.com,3126795314,Barranquilla,CO,1984-03-19,2025-10-22 12:00:00,false,,13
bm_usr_000048,Julián,Céspedes,julian.cespedes@yahoo.com,3071683236,Cartagena,CO,1980-03-11,2025-09-16 12:00:00,false,,53
bm_usr_000049,Miguel,Zapata,miguel.zapata82@outlook.com,3066356287,Bucaramanga,CO,1981-11-23,2026-03-08 12:00:00,false,,25
bm_usr_000050,Esteban,Cárdenas,esteban.cardenas@gmail.com,3235666608,Cartagena,CO,2002-05-11,2025-09-12 12:00:00,false,,54
bm_usr_000051,Juan,Muñoz,juan.munoz@icloud.com,3123045510,Pereira,CO,1979-03-26,2026-02-13 12:00:00,false,,49
bm_usr_000052,Esteban,Vargas,esteban.vargas@gmail.com,3068104493,Barranquilla,CO,1993-02-10,2025-11-08 12:00:00,false,,29
bm_usr_000053,Luisa,Martínez,luisa.martinez3@hotmail.com,3189789803,Medellín,CO,1977-01-24,2025-11-16 12:00:00,false,,10
bm_usr_000054,Camilo,Martínez,camilo.martinez@gmail.com,3189118869,Bogotá,CO,1996-11-11,2026-02-02 12:00:00,false,,37
bm_usr_000055,Laura,Cárdenas,laura.cardenas@gmail.com,3169997667,Cali,CO,1998-09-23,2025-05-04 12:00:00,false,,67
bm_usr_000056,Óscar,Ospina,oscar.ospina56@yahoo.com,3220207576,Medellín,CO,1977-03-27,2026-03-20 12:00:00,false,,30
bm_usr_000057,Felipe,Rojas,felipe.rojas33@hotmail.com,3222598331,Cartagena,CO,1986-03-27,2025-10-02 12:00:00,false,,25
bm_usr_000058,Manuela,Guerrero,manuela.guerrero@yahoo.com,3006161428,Bogotá,CO,1985-02-18,2025-12-28 12:00:00,false,,54
bm_usr_000059,Sebastián,Martínez,sebastian.martinez93@gmail.com,3244808101,Bogotá,CO,2006-07-02,2025-09-10 12:00:00,false,,29
bm_usr_000060,Camilo,Salazar,camilo.salazar@gmail.com,3104952667,Bogotá,CO,1998-02-01,2025-10-19 12:00:00,true,2026-03-01 12:00:00,246
bm_usr_000061,Daniela,Jiménez,daniela.jimenez@outlook.com,3163426552,Pereira,CO,1994-07-08,2025-11-30 12:00:00,false,,26
bm_usr_000062,Sebastián,Vargas,sebastian.vargas@gmail.com,3186619956,Medellín,CO,1988-02-16,2026-01-23 12:00:00,false,,28
bm_usr_000063,Camila,Guerrero,camila.guerrero@gmail.com,3299338205,Bogotá,CO,1998-10-18,2025-09-03 12:00:00,false,,13
bm_usr_000064,Camila,Ramírez,camila.ramirez@hotmail.com,3270124590,Cartagena,CO,1990-12-07,2025-11-03 12:00:00,false,,10
bm_usr_000065,Laura,Ortiz,laura.ortiz@outlook.com,3278492556,Bogotá,CO,1983-03-03,2025-10-10 12:00:00,false,,27
bm_usr_000066,Sebastián,Cifuentes,sebastian.cifuentes@gmail.com,3002876513,Medellín,CO,1989-06-03,2025-09-30 12:00:00,true,2025-10-15 12:00:00,286
bm_usr_000067,Cristian,Suárez,cristian.suarez98@gmail.com,3124052193,Medellín,CO,1998-02-05,2026-02-12 12:00:00,true,2026-02-17 12:00:00,227
bm_usr_000068,Catalina,Ortiz,catalina.ortiz@gmail.com,3219147072,Bogotá,CO,2004-08-13,2025-08-03 12:00:00,false,,58
bm_usr_000069,Diana,Hernández,diana.hernandez@hotmail.com,3159739159,Bogotá,CO,1998-06-02,2025-10-25 12:00:00,false,,33
bm_usr_000070,Laura,Guerrero,laura.guerrero@gmail.com,3245118203,Medellín,CO,2005-10-16,2025-08-16 12:00:00,false,,60
bm_usr_000071,Natalia,López,natalia.lopez@icloud.com,3119952468,Cartagena,CO,2005-07-09,2025-11-09 12:00:00,false,,35
bm_usr_000072,Natalia,Moreno,natalia.moreno98@gmail.com,3247438874,Bogotá,CO,1991-06-02,2026-03-08 12:00:00,true,2026-07-12 12:00:00,243
bm_usr_000073,Valentina,Valencia,valentina.valencia@hotmail.com,3038747569,Barranquilla,CO,1990-03-01,2025-12-20 12:00:00,false,,55
bm_usr_000074,Cristian,Arango,cristian.arango21@gmail.com,3092593514,Bogotá,CO,1983-09-06,2025-11-16 12:00:00,false,,5
bm_usr_000075,Camilo,Bermúdez,camilo.bermudez@yahoo.com,3171696282,Bogotá,CO,1982-02-24,2025-10-09 12:00:00,true,2025-11-02 12:00:00,214
bm_usr_000076,Andrea,Bermúdez,andrea.bermudez62@gmail.com,3267720785,Medellín,CO,1992-07-27,2025-08-06 12:00:00,true,2025-11-26 12:00:00,255
bm_usr_000077,María,Zapata,maria.zapata@proton.me,3116647733,Bogotá,CO,1985-05-06,2025-11-07 12:00:00,false,,26
bm_usr_000078,Diego,Rodríguez,diego.rodriguez75@gmail.com,3285048418,Cartagena,CO,1991-04-03,2025-06-18 12:00:00,true,2026-05-18 12:00:00,217
bm_usr_000079,Cristian,Gómez,cristian.gomez@gmail.com,3041429538,Barranquilla,CO,1984-10-04,2025-10-28 12:00:00,false,,22
bm_usr_000080,Juan,Ramírez,juan.ramirez@gmail.com,3236201888,Pereira,CO,1988-01-18,2026-02-25 12:00:00,false,,10
bm_usr_000081,Santiago,Rodríguez,santiago.rodriguez6@outlook.com,3099914695,Cartagena,CO,1995-09-18,2025-09-23 12:00:00,false,,60
bm_usr_000082,María,Muñoz,maria.munoz@gmail.com,3085794526,Bucaramanga,CO,1973-03-18,2025-10-16 12:00:00,false,,54
bm_usr_000083,David,Quintero,david.quintero28@hotmail.com,3130565292,Bogotá,CO,1993-08-21,2026-02-23 12:00:00,true,2026-06-27 12:00:00,199
bm_usr_000084,Carolina,Guerrero,carolina.guerrero42@outlook.com,3267935117,Bogotá,CO,1990-12-18,2025-11-28 12:00:00,true,2026-03-22 12:00:00,255
bm_usr_000085,Luisa,Valencia,luisa.valencia@gmail.com,3028116853,Bogotá,CO,1990-03-21,2025-11-03 12:00:00,false,,44
bm_usr_000086,Diana,Mejía,diana.mejia37@gmail.com,3195268207,Pereira,CO,1995-10-19,2025-08-30 12:00:00,false,,22
bm_usr_000087,Miguel,Vargas,miguel.vargas39@outlook.com,3139350345,Bogotá,CO,2006-04-23,2025-10-20 12:00:00,false,,50
bm_usr_000088,Luisa,Zapata,luisa.zapata@gmail.com,3097398447,Cali,CO,2002-12-11,2026-04-26 12:00:00,true,2026-07-20 12:00:00,247
bm_usr_000089,Cristian,Bermúdez,cristian.bermudez55@outlook.com,3266811514,Bogotá,CO,1990-08-16,2025-11-09 12:00:00,false,,46
bm_usr_000090,Carlos,Hernández,carlos.hernandez24@gmail.com,3219408992,Bogotá,CO,2005-11-06,2025-11-09 12:00:00,false,,10
bm_usr_000091,Felipe,Suárez,felipe.suarez67@gmail.com,3025794374,Cali,CO,1973-09-05,2026-01-18 12:00:00,true,2026-02-22 12:00:00,200
bm_usr_000092,Sara,Zapata,sara.zapata36@icloud.com,3057160359,Cali,CO,1979-03-10,2025-11-01 12:00:00,false,,15
bm_usr_000093,Catalina,Vargas,catalina.vargas75@gmail.com,3190307177,Bogotá,CO,1994-08-20,2025-10-30 12:00:00,false,,23
bm_usr_000094,Fabián,Valencia,fabian.valencia28@icloud.com,3086067367,Bogotá,CO,1978-10-25,2025-11-27 12:00:00,false,,41
bm_usr_000095,Julián,Ortiz,julian.ortiz@gmail.com,3021288685,Bogotá,CO,1981-10-01,2025-12-04 12:00:00,true,2026-05-10 12:00:00,238
bm_usr_000096,Fabián,Restrepo,fabian.restrepo@gmail.com,3061441790,Medellín,CO,1975-08-03,2026-02-15 12:00:00,false,,47
bm_usr_000097,Juan,Zapata,juan.zapata@gmail.com,3132668363,Medellín,CO,1988-12-28,2025-06-28 12:00:00,true,2026-06-05 12:00:00,224
bm_usr_000098,Camilo,Zapata,camilo.zapata15@gmail.com,3128097264,Bogotá,CO,1988-01-18,2025-06-27 12:00:00,false,,62
bm_usr_000099,Sara,López,sara.lopez@gmail.com,3075547316,Bucaramanga,CO,1983-11-27,2025-07-15 12:00:00,true,2026-04-19 12:00:00,236
bm_usr_000100,Ricardo,Cárdenas,ricardo.cardenas47@gmail.com,3098243021,Cali,CO,1985-03-28,2026-01-01 12:00:00,false,,13
bm_usr_000101,Mariana,Rodríguez,mariana.rodriguez@gmail.com,3266342239,Bogotá,CO,1988-05-03,2025-10-28 12:00:00,false,,28
bm_usr_000102,Alejandro,Quintero,alejandro.quintero@outlook.com,3184523188,Manizales,CO,1978-06-06,2025-05-31 12:00:00,true,2025-09-14 12:00:00,283
bm_usr_000103,Juan,Salazar,juan.salazar@hotmail.com,3134752753,Cali,CO,1977-02-18,2026-01-18 12:00:00,true,2026-04-28 12:00:00,217
bm_usr_000104,Camila,Rodríguez,camila.rodriguez72@gmail.com,3192304712,Bogotá,CO,2002-11-07,2025-11-29 12:00:00,false,,26
bm_usr_000105,Natalia,López,natalia.lopez60@gmail.com,3067927240,Manizales,CO,1993-12-16,2025-06-23 12:00:00,false,,72
bm_usr_000106,Tatiana,Peña,tatiana.pena20@gmail.com,3177769344,Bogotá,CO,2003-06-18,2025-10-22 12:00:00,true,2026-01-14 12:00:00,256
bm_usr_000107,Manuela,Hernández,manuela.hernandez61@outlook.com,3155422116,Bogotá,CO,1978-11-12,2025-07-03 12:00:00,true,2026-06-26 12:00:00,239
bm_usr_000108,Diego,Cifuentes,diego.cifuentes@gmail.com,3179310577,Pereira,CO,2001-08-20,2025-09-10 12:00:00,false,,46
