sale_id,event_id,buyer_name,buyer_email,buyer_phone,qty,subtotal,channel,purchased_at
ft_sal_000001,ft_evt_0027,Mariana Castro,mariana.casro@gmail.com,3045387870,3,450000,RRPP,2026-06-21 12:30:00
ft_sal_000002,ft_evt_0027,Mateo Vargas,mateo.vargas18@hotmail.com,315 188 1809,1,0,WEB,2026-06-20 03:30:00
ft_sal_000003,ft_evt_0027,Andrés Peña,andrespena53@gmail.com,3278883502,1,62000,WEB,2026-06-21 06:30:00
ft_sal_000004,ft_evt_0027,Natalia Guerrero,nataliaguerrero169@outlook.com,3228809591,2,90000,WEB,2026-06-27 05:30:00
ft_sal_000005,ft_evt_0027,ricardo ortiz,ricardo.ortiz@gmail.com,+57 318 0454246,2,110000,BOX_OFFICE,2026-07-01 00:30:00
ft_sal_000006,ft_evt_0027,Martínez Diana,dianamartinez505@hotmail.com,+57 304 5317500,2,270000,WEB,2026-06-19 05:30:00
ft_sal_000007,ft_evt_0027,Carlos Castro,carloscastro239@gmail.com,+57 302 3187095,1,47000,WEB,2026-06-21 13:30:00
ft_sal_000008,ft_evt_0027,juan restrepo,juan.restrepo@gmail.com,3017059799,3,174000,WEB,2026-06-20 20:30:00
ft_sal_000009,ft_evt_0027,Juan Arango,juan.arango21@hotmail.com,(+57) 310-080-5119,1,63000,WEB,2026-06-20 00:30:00
ft_sal_000010,ft_evt_0027,Carolina González,camilo.rojas8@gmail.com,(+57) 310-379-7276,1,43000,ADMIN,2026-06-23 03:30:00
ft_sal_000011,ft_evt_0027,Paula Mejía,paulamejia829@gmail.com,573258984945,2,118000,WEB,2026-06-19 11:30:00
ft_sal_000012,ft_evt_0027,Diego Rodríguez,diegorodriguez391@icloud.com,3229555279,4,528000,WEB,2026-06-23 13:30:00
ft_sal_000013,ft_evt_0027,Natalia Cárdenas,nataliacardenas201@gmail.com,(+57) 303-651-6091,2,128000,WEB,2026-06-26 09:30:00
ft_sal_000014,ft_evt_0027,david hernández,david.hernandez@outlok.com,573046695243,4,0,WEB,2026-06-19 08:30:00
ft_sal_000015,ft_evt_0027,daniel quintero,danielquintero856@hotmail.com,+57 326 5270027,1,99000,WEB,2026-06-16 01:30:00
ft_sal_000016,ft_evt_0027,Miguel Vargas,miguelvargas725@gmail.com,305 194 9307,1,90000,WEB,2026-06-17 06:30:00
ft_sal_000017,ft_evt_0027,María Zapata,maria.zapata+compras@proton.me,3116647733,1,96000,WEB,2026-06-16 09:30:00
ft_sal_000018,ft_evt_0027,Ricardo González,ricardogonzalez534@gmail.com,3135043655,2,124000,WEB,2026-06-18 09:30:00
ft_sal_000019,ft_evt_0027,Sara Valencia,saravalencia405@gmail.com,573003234543,1,134000,WEB,2026-06-24 04:30:00
ft_sal_000020,ft_evt_0027,Miguel Hernández,miguelhernandez@outlook.com,(+57) 313-225-3453,4,380000,WEB,2026-06-28 05:30:00
ft_sal_000021,ft_evt_0027,Laura Castro,lauracastro990@gmail.com,(+57) 325-121-8774,3,132000,WEB,2026-06-24 10:30:00
ft_sal_000022,ft_evt_0027,Mariana Suarez,mariana.suarez232+spam@gmail.com,(+57) 319-603-7468,3,288000,WEB,2026-06-13 02:30:00
ft_sal_000023,ft_evt_0027,Daniel Hernández,daniel.hernandez55@yahoo.com,+57 309 6266487,1,138000,WEB,2026-06-11 17:30:00
ft_sal_000024,ft_evt_0027,Daniela Suárez,daniela.suarez83@gmail.com,+57 311 8113172,3,279000,WEB,2026-06-21 17:30:00
ft_sal_000025,ft_evt_0027,Tatiana Ospina,tatiana.spina60@icloud.com,3245040263,4,168000,WEB,2026-06-27 16:30:00
